index,lat,lng,City
Mt Auburn,42.37481118703192,-71.13318890318843,Cambridge
Mt. Hope St at Hyde Park Ave,42.284790321217685,-71.1186823063123,Boston
Mugar Way at Beacon St,42.35553628489709,-71.07286870479584,Boston
Murphy Skating Rink - 1880 Day Blvd,42.336488568,-71.023718546,Boston
Museum of Science,42.36769018024484,-71.07116281986237,Cambridge
N. Beacon St at N. Beacon Ct,42.36444157139109,-71.18091373646166,Watertown
NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Boston
Nashua Street at Red Auerbach Way,42.365673,-71.064263,Boston
New Balance - 20 Guest St,42.357277199338526,-71.14682339148074,Boston
Newbury St at Hereford St,42.348663939000005,-71.08592333850001,Boston
Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326606570500005,-71.0665026695,Boston
Newton Highlands T,42.32210508247647,-71.20630270265156,Newton
Newton Library,42.33620336883013,-71.207794547081,Newton
Nichols Ave. at Watertown Greenway,42.36762048745005,-71.1565663665533,Watertown
Nonantum Library,42.36071052334078,-71.2014531914941,Newton
Norman St at Kelvin St,42.40581171700586,-71.06708850720679,Everett
North St at Liberty Hill Ave,42.52989964975891,-70.90614259243011,Salem
Northbourne Rd at Hyde Park Ave,42.29118035995213,-71.1177074125175,Boston
Northeastern University - North Parking Lot,42.341814,-71.090179,Boston
Northern Strand at Main St,42.42386,-71.067793,Malden
O'Brien Highway at First Street,42.370982,-71.076638,Cambridge
Oak Square - 615 Washington St,42.35057,-71.166491,Boston
Old Morse Park at Putnam Ave,42.35766247889882,-71.1084133386612,Cambridge
One Beacon St,42.358477644348106,-71.06135129928589,Boston
One Brigham Circle,42.33390066868499,-71.10438482091466,Boston
One Broadway / Kendall Sq at Main St / 3rd St,42.36225309075461,-71.0831582099596,Cambridge
One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Cambridge
One Memorial Drive,42.361619320766856,-71.0804355052096,Cambridge
Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Boston
Orr Sq (Shirley Ave),42.40715655698643,-70.99272429943085,Revere
Packard Ave at Powderhouse Blvd,42.404449585,-71.123300986,Somerville
Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Boston
